,Param name,Param
0,k_tx,2.6
1,d_m,0.17
2,k_tlaa_b,0.05
3,k_tlaa_u,100.0
4,k_tli_b,0.03
5,k_tli_u,600.0
6,k_tl,0.17
7,d_p,0.0008
8,k_fold,0.16
9,b_fold,0.7
10,k_syn,110.0
11,k_lag,0.00099
12,A_0,95000.0
13,k_protease_b_unfolded,1e-05
14,k_protease_b_folded,0.0007
15,k_protease_u,0.45
16,k_c_deg,0.37
17,tRNA_max,980.0
18,Ribo_max,350.0
19,Protease_max,980.0
20,n_gamma_resources,0.56
21,n_gamma_rate,0.2
22,n_gamma_deg,0.34
23,C_max,503666666.6
24,C_0,6666666.67
25,k_gr,0.015781
