,RNAP_total,Sigma_total,DNA_total,Nucleotide,mRNA_total,RNAase_total,Ribosome_total,tRNA_total,tRNA_synthetase_total,Unfolded_protein,Folded_protein,Peptide_chain,Amino_acid,Protease_total,Holoenzyme,Open_promoter_complex,mRNA_RNAase_complex,Et_AA_complex,tRNA_AA_complex,Translation_initiation_complex,Protease_protein_complex,Cells,Time
0,722.6552710265598,135.0,100.0,942.0,0.0,90.0,15.306072543105815,113.68302102889206,218.9468093901117,0.0,0.0,0.0,85610.0,118.08350592388362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6666666.666666669,0.0
1,725.2163396364635,135.00000000000014,100.00000000000006,931.3825422778904,10.588471436737109,90.0,15.46462467037646,114.73703454051108,220.19640792874807,0.6795068058740795,0.008373738880496489,0.00035408615017578103,84003.21286807208,118.91281229274807,90.26374584870335,4.687562381255573,5.962237731867597,209.90724562667896,114.73540815516314,0.09011000362446557,0.0038664576934861654,6771428.858819059,1.0013908205841446
2,727.785375665035,135.0000000000002,100.00000000000009,919.3151186819262,22.541272094163602,90.0,15.624749850600374,115.8003600572061,221.4525954999906,3.4486478060521506,0.08988169053920912,0.005978555574927813,82737.10885099214,119.74758196751975,90.24820176390668,4.864310304403707,12.28099933604956,210.94459065750783,115.79743443176353,0.2042335551315583,0.030345373146975156,6877814.536368747,2.0027816411682893
3,730.3623822515846,135.00000000000014,100.00000000000009,909.4859632047635,32.175479333707706,89.99999999999997,15.786461857165293,116.87306818804024,222.71539505932046,8.085009762691312,0.32446057359076386,0.028702860621528988,81488.9056882414,120.58784261888948,90.31693721086383,4.921714281841558,17.03425798173572,211.98510472770812,116.86900769432037,0.30294158924736964,0.09449858796560268,6985848.136998766,3.004172461752434
4,732.9473620665916,135.00000000000014,100.00000000000004,901.4173689976241,39.980147236208865,90.00000000000001,15.949774534599161,117.95522977462856,223.9848293717439,14.211913988989927,0.7708170473328558,0.084963499966836,80258.58304695747,121.43362185807567,90.39259133331285,4.96840281646917,20.66244554590025,213.02872799403326,117.95018680850706,0.38744599073869557,0.20654078203324477,7095554.443415013,4.0055632823365785
5,735.5403173015244,135.00000000000014,100.00000000000006,894.7042990608367,46.37037793930215,90.0,16.114701797474467,119.0469158830344,225.26092100422935,21.507848487208125,1.4684439827839293,0.1942287659643495,79046.09006754326,122.2849472309112,90.47226566376087,5.008585207988992,23.486256878843726,214.07531215293258,119.04102074602066,0.45985761386358553,0.3733475974899999,7206958.587489062,5.006954102920723
6,738.1412496584954,135.0000000000001,100.00000000000007,889.052090306173,51.64949045066755,90.00000000000004,16.281257629258693,120.14819779536516,226.54369231798745,29.705484175023415,2.441460470875133,0.37778053380863336,77851.34288880875,123.1418462117829,90.55507148460076,5.043617183164844,25.72066920954165,215.12471133396247,120.1415606948663,0.5220698394203724,0.5990636130321417,7320086.054427039,6.008344923504868
7,740.7501603397386,135.0000000000001,100.00000000000007,884.2423310468591,56.04327724576562,90.00000000000003,16.449456081108398,121.2591470010548,227.83316546058353,38.58433166078642,3.7019308853441606,0.6577307736930983,76674.22901677093,124.00434619741627,90.64036279054729,5.074487742639931,27.51345135870682,216.17678848744345,121.25186084358445,0.5757037287194745,0.8856192872043781,7434962.68696315,7.009735744089013
8,743.3670500369129,135.0000000000001,100.00000000000009,880.1097408673618,59.72328757508254,90.00000000000003,16.61931127060625,122.37983518782963,229.12936235788564,47.963490705817726,5.252623556957628,1.0562406029229536,75514.61204081046,124.8724745005059,90.72763930898343,5.1019624080346535,28.96886890326926,217.23141620478566,122.37197825237149,0.6221238054886102,1.2331815274850864,7551614.689577593,8.011126564673157
9,745.991918920231,135.0000000000001,100.00000000000009,876.5269776392826,62.82217959676801,90.00000000000003,16.790837380439147,123.51033423234917,230.43230470584356,57.695182025036424,7.089267255326095,1.5949139899089555,74372.33596633423,125.7462583431877,90.81650715786101,5.1266434079928915,30.16225880993327,218.2884759394151,123.50197252743477,0.6624703246666466,1.6405429029798315,7670068.632737827,9.012517385257302
10,748.6247666274052,135.00000000000009,100.0000000000001,873.3944075581327,65.44409395532766,90.00000000000003,16.964048657015997,124.6507161905136,231.74201396209594,67.65920100381692,9.202376909580414,2.2943406310699683,73247.22897111719,126.62572485034995,90.9066521370485,5.149010642253453,31.149220309451803,219.34785670834634,124.64190545773519,0.6976939647951871,2.105454500051582,7790351.457162357,10.013908205841446
11,751.2655922524149,135.0000000000001,100.00000000000007,870.6330433543338,67.67184046921622,90.00000000000003,17.138959409023563,125.8010532874312,233.05851133740302,77.75825075138852,11.578718399431303,3.173764766749904,72139.10657477989,127.51090104278013,90.99782077940809,5.169450761065637,31.971565734780867,220.40945372683487,125.79184067552985,0.728587642414933,2.6249074786316524,7912490.478106134,11.015299026425591
12,753.9143943340905,135.0000000000001,100.00000000000009,868.1795575727951,69.5719914339106,90.00000000000003,17.315584005918858,126.96141790703751,234.38181778690296,87.91404984552233,14.20247484570772,4.250859060281858,71047.77427846131,128.4018138301453,91.08980663120259,5.1882782294518766,32.66126552591141,221.47316715321335,126.9518433601476,0.7558138799757443,3.1953683104862654,8036513.389666669,12.016689847009737
13,756.5711708445087,135.00000000000014,100.0000000000001,865.9826879255291,71.19856633724055,90.00000000000003,17.49393687635628,128.13188258135798,235.71195400118722,98.06409819552344,17.056168006492467,5.5415849429740325,69973.02975057194,129.2984900038017,91.18244013692376,5.205750864557425,33.24312350639029,222.5389010008672,128.12197998760368,0.7799276121516608,3.8129725627421,8162448.269109684,13.01808066759388
