,RNAP_total,Sigma_total,DNA_total,Nucleotide,mRNA_total,RNAase_total,Ribosome_total,tRNA_total,tRNA_synthetase_total,Unfolded_protein,Folded_protein,Peptide_chain,Amino_acid,Protease_total,Holoenzyme,Open_promoter_complex,mRNA_RNAase_complex,Et_AA_complex,tRNA_AA_complex,Translation_initiation_complex,Protease_protein_complex,Time
0,722.6552710265598,135.0,100.0,942.0,0.0,90.0,15.306072543105815,113.68302102889206,218.9468093901117,0.0,0.0,0.0,85610.0,110.6442679208815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,725.216339636464,134.9999999999998,100.00000000000006,931.3824527017766,10.588563594576328,90.0,15.464624670376486,114.73703454051125,220.19640792874827,0.6736520707330923,0.008364508973744718,0.00033759174627246173,84005.46610344357,111.44703823127152,90.26374565787256,4.687562678514295,5.961709995512396,209.9076094114952,112.45281311138314,0.09115986366636894,0.003597335165154386,1.0013908205841446
2,727.7853756650354,134.99999999999983,99.99999999999997,919.3146916580663,22.541712723068102,89.99999999999994,15.624749850600395,115.80036005720626,221.4525954999908,3.420845803294902,0.08999139865482284,0.00571591830198488,82739.36099710413,112.25528344976884,90.24820073414595,4.86431189877071,12.279981799292518,210.94503947504128,113.50482654927501,0.2066560562362648,0.028317879133274278,2.0027816411682893
3,730.3623822515849,134.99999999999977,99.99999999999994,909.485044999172,32.176429491464916,89.99999999999991,15.786461857165309,116.87306818804034,222.7153950593206,8.021348716036131,0.32521472005986907,0.027492385437267154,81491.17359895761,113.06903277589073,90.31693479966872,4.921717990401627,17.032983727863655,211.9856342150551,114.56632718981876,0.3065343589276434,0.08835875176370057,3.004172461752434
4,732.9473620665913,134.9999999999998,99.99999999999996,901.4158850568773,39.98168680356751,89.99999999999993,15.94977453459913,117.95522977462836,223.98482937174367,14.101531076136217,0.7732079937138053,0.08149480526657882,80260.8811444773,113.88831536801256,90.3925871568932,4.968409204003344,20.661055744460015,213.02933343913983,115.63737377575022,0.3920272131485186,0.19341247108507664,4.0055632823365785
5,735.5403173015239,134.99999999999983,99.99999999999994,894.7022207835943,46.3725391244983,89.99999999999993,16.114701797474442,119.04691588303423,225.26092100422915,21.342508175004276,1.4739442200331827,0.18651493944325592,79048.43059154635,114.7131603375236,90.47225942157581,5.008594703686684,23.484835333099017,214.07598962928637,116.71801408049852,0.4652759311532476,0.3500540197378589,5.006954102920723
6,738.1412496584951,134.9999999999998,99.99999999999994,889.0494166723574,51.65227648783802,89.99999999999993,16.281257629258672,120.14819779536504,226.54369231798728,29.479151475145294,2.452006823265332,0.3631394023034932,77853.73618188726,115.54359674283043,90.55506316108597,5.043629805724293,25.719265667761793,215.12545762664348,117.80829817808825,0.5281999292343637,0.5623007423223717,6.008344923504868
7,740.7501603398584,134.99999999999983,99.99999999999993,884.2390779541694,56.046673355641374,89.99999999999993,16.44945608111616,121.25914700110603,227.83316546064287,38.292791075474014,3.719888761539638,0.6328027066671903,76676.68378981434,116.37965358324232,90.6403523885207,5.0745034775981654,27.512094346408855,216.17760106234172,118.90827916524569,0.582441784404486,0.8320895515429908,7.009735744089013
8,743.3670500370308,134.99999999999983,99.9999999999999,880.1059322004609,59.72727020669936,89.99999999999991,16.619311270613927,122.37983518788026,229.12936235794407,47.604014547885235,5.2807387719866155,1.0170326080231555,75517.13561016721,117.22135979250463,90.72762686850156,5.101981185389634,28.967575281835902,217.2322931480425,120.01801304170114,0.6293836459553956,1.1596940298421754,8.011126564673157
9,745.9919189203532,134.9999999999998,99.99999999999991,876.5226435062639,62.826718342994624,89.99999999999993,16.790837380447165,123.51033423240202,230.43230470590436,57.26625198841136,7.130609725320494,1.5368616562293547,74374.93445779604,118.06874423256046,90.81649274959481,5.126665112287519,30.16103688427531,218.2894158939771,121.13755838468207,0.6701801469198232,1.5440855683204704,9.012517385257302
10,748.6247666275345,134.99999999999977,99.99999999999993,873.3895804561107,65.44915558301537,89.99999999999994,16.964048657024538,124.65071619056982,231.74201396216037,67.16027123467762,9.260282066059506,2.212381101889591,73249.90749702718,118.92183568675016,90.90663584910337,5.149035132792765,31.148073336560323,219.34885881111165,122.26697597998411,0.7057937258136319,1.9832434442158429,10.013908205841446
11,751.2655922525615,134.99999999999974,99.99999999999994,870.6277560475951,67.67739118133409,89.99999999999991,17.13895940903331,125.80105328749525,233.0585113374762,77.1895503261635,11.656728708209389,3.062415450220203,72141.86938499252,119.78066285305088,90.99780270747704,5.169477886574141,31.970494229273072,220.41051755121896,123.40632847837763,0.737026961505558,2.4744178943323742,11.015299026425591
12,753.9143943342267,134.99999999999977,99.99999999999993,868.1738439495484,69.57799607476824,89.99999999999991,17.315584005927967,126.96141790709734,234.38181778697106,87.27642023659054,14.304283151507063,4.104298095074435,71050.62488777397,120.64525433708032,91.08978688011341,5.188307825796987,32.66026701523567,221.47429266214266,124.55568009302934,0.7645503127997507,3.0143506374352707,12.016689847009737
13,756.5711708446419,134.99999999999977,99.99999999999994,865.9765794232402,71.20499211502235,89.99999999999991,17.493936876365247,128.13188258141682,235.71195400125393,97.35885489285053,17.18556593960472,5.35373010669366,69975.97104961945,121.51563864498254,91.18241880690307,5.205782775213564,33.242195865755484,222.54008850067353,125.71509634446144,0.7889253189365555,3.5994575226261065,13.01808066759388
14,759.2359191773264,134.99999999999977,99.99999999999994,863.9941233493419,72.60256368800236,89.99999999999991,17.67403250655643,129.31251997946134,237.04894039725602,107.3878130805783,20.282210060779445,6.824707154746207,68917.69898113207,122.39184417605837,91.27555824514893,5.222115560727424,33.73577490337471,223.60781233009158,126.88464384866562,0.8106235198057724,4.225976900238329,14.019471488178025
15,761.908636136685,134.99999999999977,99.99999999999994,862.1920881245757,73.8070954451158,89.99999999999991,17.85588543865881,130.50340289638305,238.3927971096727,117.3250259422402,23.575426583675576,8.529500044568534,67875.59534101126,123.27389921573683,91.36908848771695,5.237482896225554,34.156498485827406,224.6773735551495,128.0643901405612,0.8300420039746667,4.890088514157125,15.020862308762169
16,764.5893179197418,134.99999999999983,99.99999999999994,860.5420365057453,74.8487270820385,89.99999999999991,18.03951026858198,131.70460423890376,239.7435439784175,127.14115036089247,27.046438812861503,10.47867905117216,66849.44356438481,124.16183192586693,91.46291188960289,5.252032260200562,34.516806156517795,225.74868309469917,129.2544035239588,0.8475160681967548,5.588006492607287,16.022253129346314
