,Param name,Param
0,k_tx,0.1
1,d_m,0.16
2,k_tl,0.02
3,d_tag,0.173
4,b_tag,0.055
5,d_p,0.0001
6,k_fold,0.10
7,b_fold,0.5
8,k_rep,410
9,k_lag,0.00085
10,A_0,100000.0
11,n_gamma,0.89
12,C_max,503666666.7
13,C_0,6666666.67
14,k_gr,0.015781
