,Param name,Param
0,k_tx,1.564086231649401
1,d_m,0.2760488691789353
2,k_tlaa_b,734.8779982656515
3,k_tlaa_u,1000.0
4,k_tli_b,8.972108345193165
5,k_tli_u,177.9564454957816
6,k_tl,0.1000000025169432
7,d_tag,0.24499684345689493
8,b_tag,0.07359794295248402
9,d_p,0.00025000516974095
10,k_fold,0.2
11,b_tl,0.5001077611855078
12,b_fold,0.5
13,k_rep,460.91055566777817
14,k_lag,0.00150012090687375
15,A_0,50000.0
16,R_0,312.0527370819713
17,R_min,152.38419430661088
18,k_R,0.029821258166539917
19,Kp,15.00109176678824
20,C_max,503666666.6666667
21,C_0,6666666.67
22,k_gr,0.015781
