,RNAP_total,Sigma_total,DNA_total,Nucleotide,mRNA_total,RNAase_total,Ribosome_total,tRNA_total,tRNA_synthetase_total,Unfolded_protein,Folded_protein,Peptide_chain,Amino_acid,Protease_total,Holoenzyme,Open_promoter_complex,mRNA_RNAase_complex,Et_AA_complex,Et_AA_amp_complex,Et_AA_tRNA_inactive_complex,Et_AA_tRNA_active_complex,tRNA_AA_complex,Translation_initiation_complex,Protease_protein_complex,Time
0,200.69267140359847,977.6286766768188,100.0,962.8496894045344,0.0,71.9931563397171,794.798520431711,580.366757975238,562.9337943527621,0.0,0.0,0.0,49999.872974292106,252.5132422109901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,200.72454707420064,977.6286766768185,100.00000000000016,961.438687950536,1.4082317135936078,71.99315633971703,798.1679230705312,585.4469318874454,571.2460663709168,1.0312910153446893,0.008798461226813355,0.01973992166474762,48092.69542076175,253.7187177300782,150.386566656095,1.1743330044498657,0.4332196364740553,0.00044514888357105245,571.1597008803966,0.01598013764591618,0.067695112493667,584.8255647954738,0.5360299727698647,0.691057995791727,1.001001001001001
2,200.75719331461437,977.6286766768186,100.00000000000018,959.9068782640736,2.9292813813811316,71.99315633971699,801.5541258092056,590.5793361699451,579.7264680192526,4.960965237189668,0.09280180527962519,0.21059219991112169,47335.61494477723,254.9426457167971,150.3092507439464,1.3012963108982385,0.8958189931994344,0.0005705744436163738,579.5962599758911,0.02415339114822773,0.10256038605842589,589.3260181629778,1.1241303061239034,3.340788420172053,2.002002002002002
3,200.79062817058696,977.6286766768189,100.0000000000002,958.9552267051256,3.864337159006532,71.993156339717,804.9571810909903,595.7644482632652,588.3782638525715,10.8585216257683,0.3256754594250373,0.7434569614935319,46586.42833995196,256.1852916788682,150.32184762130754,1.3158336795428967,1.174051143963435,0.0006519517639341307,588.2201438076278,0.029345311737182484,0.12472838146264927,594.1120893451003,1.4953242605010475,7.314302016834063,3.0030030030030033
4,200.82487008665902,977.6286766768188,100.0000000000002,958.3911308781118,4.408435698272561,71.99315633971702,808.3771408110251,601.0027483463867,597.2047767785804,17.742037473085208,0.746841954368205,1.7105705587849696,45846.50275279725,257.44692439975995,150.3445806335515,1.3183299050546056,1.3312717630754387,0.0007034732457742235,597.0295488481959,0.03252008457275868,0.13828261410439974,599.108890176362,1.7198229164476326,11.929454732786489,4.004004004004004
5,200.85993791401185,977.6286766768189,100.0000000000002,958.0499973241358,4.727651735966613,71.99315633971702,811.8140562969139,606.2947193045071,606.209388914885,25.02108160846275,1.371311447807739,3.1477737307440194,45116.61038479394,258.7278159612597,150.36913690251436,1.31926914271013,1.4195769251813015,0.0007377079452339394,606.0233214417366,0.03452487641515902,0.14683887034420987,604.2507612836281,1.8592135392921796,16.781980545130402,5.005005005005005
6,200.89585091831057,977.6286766768189,100.0000000000002,957.8345194329866,4.9201322849649385,71.99315633971698,815.2679782886004,611.6408466920676,615.3955424304112,32.36508327444429,2.199956168518346,5.059501777965875,44397.11813784966,260.02824176387236,150.3945674419099,1.3198679745986193,1.4693056522600214,0.000762179420054243,615.2021886810942,0.03586632344517577,0.1525612617426194,609.4986353159611,1.9503241904218296,21.65473532126323,6.0060060060060065
7,200.93262878791091,977.6286766768188,100.0000000000002,957.6897576946888,5.04128921411247,71.99315633971698,818.7389569185243,617.0416187003235,624.7667404364887,39.594133536026526,3.22581385864123,7.433954823935518,43688.15877430588,261.3484805502641,150.42072507510665,1.3203323240576617,1.4974186046808742,0.0007811757941380119,624.568106080644,0.03683311030116077,0.15668304697480512,614.8304618137767,2.014141201717954,26.437204093973072,7.007007007007008
8,200.9702916419322,977.6286766768187,100.0000000000002,957.5848277843485,5.122272546957131,71.99315633971699,822.2270416906537,622.4975261165223,634.3265478382536,46.614348389968875,4.437785206547924,10.251546206984967,42989.733260269444,262.68881442457456,150.44757249950217,1.3207289834094105,1.5133775447012954,0.0007971288220463357,634.1237609189897,0.037588901054714914,0.15990339721414523,620.233952827157,2.06256349967328,31.077406710653356,8.008008008008009
9,201.0088600385539,977.6286766768188,100.00000000000017,957.5023264470223,5.180635380630786,71.99315633971699,825.7322814594626,628.0090622842239,644.0785922106355,53.38089404527773,5.822799128475764,13.4894844071815,42301.76893095932,264.0495288727689,150.4750993067521,1.3210905851336234,1.5224794367758654,0.000811420755434659,643.8722819911442,0.03822668072123677,0.16261953392730422,625.7023409602135,2.102352111192554,35.554914935317164,9.00900900900901
10,201.0483549834069,977.6286766768188,100.00000000000018,957.43241508267,5.2263010602714814,71.99315633971699,829.2547244084064,633.5767230610319,654.026564674959,59.876813548268416,7.36707626574808,17.12420617453026,41624.15235103571,265.43091278207885,150.5033067444965,1.321435096439309,1.5277008899891324,0.0008248401270984836,653.817076004751,0.03879944857027124,0.1650578585481564,631.2319832882474,2.137361078398583,39.86596673257014,10.01001001001001
11,201.08879793809052,977.6286766768185,100.00000000000018,957.3695132010496,5.264898145422327,71.99315633971699,832.7944180279363,639.201006774292,664.1742207811617,66.10084056751344,9.056858256539913,21.132630443166942,40956.74791394753,266.83325845988475,150.53220239285622,1.3217727009190654,1.5307203923130939,0.0008378386379698625,663.9617357392264,0.03933751771221361,0.16734785924317636,636.8210107430497,2.1697949867494395,44.015314912855885,11.011011011011012
12,201.13021082874204,977.6286766768183,100.00000000000017,957.3104447688339,5.299630018770156,71.99315633971698,836.3514090931634,644.8824141743366,674.5253813849267,72.06036267995673,10.87881889735423,25.492769400791204,40299.408393765385,268.25686165138256,150.5617975133641,1.3221092405816395,1.5324874756239417,0.0008506763329067385,674.309988510304,0.03985829226413286,0.16956387822275268,642.4685647068397,2.2009197568238417,48.01179557495692,12.012012012012013
