,Scaled_deg_tag_protein,Scaled_no_deg_tag_protein,Time_model
0,0.0,0.0,0.0
1,4.917393996468211e-06,1.3759682348533474e-05,1.001001001001001
2,5.162034070212939e-05,0.00014574736491582886,2.002002002002002
3,0.00018062680868250982,0.0005129799378704453,3.0030030030030033
4,0.0004134206775128258,0.0011792524377764488,4.004004004004004
5,0.0007580827489096367,0.002170561511991319,5.005005005005005
6,0.0012149718991858501,0.0034915012582931223,6.0060060060060065
7,0.0017801822177763514,0.005135171277156547,7.007007007007008
8,0.0024475638401697357,0.00708878910171968,8.008008008008009
9,0.0032099035367858454,0.009336830756035301,9.00900900900901
10,0.004059612314657623,0.01186277590926151,10.01001001001001
11,0.004989121164157414,0.014650065489193575,11.011011011011012
12,0.005991103716226842,0.017682614794311786,12.012012012012013
13,0.007058596436597271,0.02094507484159763,13.013013013013014
14,0.008185057144181326,0.024422953601759282,14.014014014014016
15,0.009364389021331547,0.0281026576782292,15.015015015015017
16,0.010590942506767138,0.03197149056048973,16.016016016016017
17,0.011859505461753142,0.036017627421042905,17.017017017017018
18,0.013165286343595409,0.040230078068782926,18.01801801801802
19,0.014503893901143997,0.044598644472656775,19.01901901901902
20,0.01587131495448657,0.04911387632186663,20.02002002002002
21,0.017263891607482252,0.05376702700566377,21.021021021021024
22,0.018678298659362085,0.058550010601966004,22.022022022022025
23,0.020111521373042153,0.06345536095321365,23.023023023023026
24,0.02156083434676237,0.06847619305779924,24.024024024024026
25,0.023023781071400927,0.07360616607876687,25.025025025025027
26,0.024498154125699056,0.07883944894982668,26.026026026026027
27,0.025981977056578346,0.0841706886259651,27.027027027027028
28,0.027473487395568912,0.08959497872029897,28.028028028028032
29,0.02897111988823889,0.09510783083352908,29.029029029029033
30,0.03047349171070554,0.10070515010214742,30.030030030030034
31,0.03197938780133205,0.1063832090275266,31.031031031031034
32,0.03348774774134522,0.11213862394098416,32.032032032032035
33,0.03499765368082878,0.11796833385822249,33.033033033033036
34,0.03650831759981792,0.1238695801048484,34.034034034034036
35,0.038019071412300834,0.12983988717629502,35.03503503503504
36,0.039529357308491046,0.13587704514603613,36.03603603603604
37,0.04103871804392648,0.14197909308505777,37.03703703703704
38,0.04254678817060202,0.14814430355357855,38.03803803803804
39,0.04405328618257818,0.1543711680017373,39.03903903903904
40,0.04555800739277001,0.1606583834881051,40.04004004004004
41,0.047060817078170974,0.16700484032051668,41.04104104104105
42,0.0485616442589704,0.17340961017614792,42.04204204204205
43,0.05006047573501419,0.17987193441304164,43.04304304304305
44,0.051557351014095296,0.18639121467858985,44.04404404404405
45,0.0530523571385784,0.19296700276560685,45.04504504504505
46,0.05454562470382446,0.19959899209885082,46.04604604604605
47,0.056037322959588305,0.20628700919436507,47.04704704704705
48,0.05752765728013478,0.21303100569141856,48.04804804804805
49,0.059016863502874974,0.21983105154888355,49.04904904904905
50,0.06050520824184527,0.22668732849725523,50.050050050050054
51,0.06199298334540972,0.2336001233343393,51.051051051051054
52,0.06348050059147216,0.24056982197758567,52.052052052052055
53,0.06496809825645404,0.2475969041842709,53.053053053053056
54,0.06645612967930739,0.25468193906308323,54.054054054054056
55,0.06794496539385832,0.2618255790149906,55.05505505505506
56,0.06943499066600076,0.26902855568218703,56.056056056056065
57,0.07092660485613354,0.27629167665618853,57.057057057057065
58,0.07242021905100658,0.28361582186429696,58.058058058058066
59,0.07391625386569307,0.291001939754571,59.05905905905907
60,0.07541514149924937,0.2984510437277496,60.06006006006007
61,0.07691731969818244,0.30596420907361344,61.06106106106107
62,0.07842323373449676,0.31354257034571753,62.06206206206207
63,0.07993334034128763,0.321187318958763,63.06306306306307
64,0.08144809592911846,0.3288997007139954,64.06406406406407
65,0.08296796350696804,0.3366810135836948,65.06506506506507
66,0.08449341310687782,0.3445326056563262,66.06606606606607
67,0.0860249174107757,0.352455873308324,67.06706706706707
68,0.08756295335916921,0.3604522593837652,68.06806806806807
69,0.0891080012945881,0.36852325182906154,69.06906906906907
70,0.09066054473755913,0.3766703821487358,70.07007007007007
71,0.09222107024495294,0.3848952241096794,71.07107107107107
72,0.09379006726840594,0.3931993924753642,72.07207207207207
73,0.09536802804687697,0.4015845419995081,73.07307307307308
74,0.09695544755057256,0.4100523664100595,74.07407407407408
75,0.09855282343441905,0.41860459758366364,75.07507507507508
76,0.10016065607544546,0.4272430045151238,76.07607607607608
77,0.10177944861264883,0.4359693928917371,77.07707707707708
78,0.10340970691504273,0.44478560425311686,78.07807807807808
79,0.1050519400452387,0.4536935154489651,79.07907907907908
80,0.10670666065150426,0.4626950383305214,80.08008008008008
81,0.10837438301082009,0.4717921190327865,81.0810810810811
82,0.11005562627943521,0.4809867377911259,82.0820820820821
83,0.1117509139575223,0.49028090861438944,83.0830830830831
84,0.11346077224680587,0.499676678819287,84.0840840840841
85,0.11518573199540305,0.5091761290733043,85.0850850850851
86,0.11692632847293001,0.5187813730903145,86.0860860860861
87,0.1186831019918866,0.5284945575671022,87.0870870870871
88,0.12045659797237047,0.5383178622817298,88.0880880880881
89,0.12224736725332576,0.5482534998879233,89.0890890890891
90,0.12405596646123254,0.5583037148232473,90.0900900900901
91,0.12588295852119757,0.5684707836642213,91.0910910910911
92,0.12772891288731442,0.5787570178078211,92.0920920920921
93,0.1295944060425487,0.5891647616747985,93.0930930930931
94,0.13148002169016926,0.5996963913981619,94.0940940940941
95,0.13338635162368176,0.6103543165108514,95.0950950950951
96,0.13531399561843402,0.6211409799597717,96.0960960960961
97,0.13726356221993302,0.6320588580146294,97.0970970970971
