,Time,Open_1,Open_2,Open_3,Open_4,Open_5,Trans_1,Trans_2,Trans_3,Trans_4,Trans_5,Cis_1,Cis_2,Cis_3,Cis_4,Cis_5,Layered_1,Layered_2,Layered_3,Layered_4
23,240,29105.509383007804,25508.94560898334,28678.124744942048,28276.707332152124,24310.879938009464,32285.377812464278,30314.65970980519,30064.794645499896,36016.75809301812,35277.028054170536,18685.11722614506,18675.25346592707,18464.78664763266,18074.420847314974,18220.158548459105,35974.71508137294,32680.13340737483,30837.617226145056,32460.851298167225
24,250,33739.93643113586,29482.83258555752,30754.156966697858,29650.165891983095,27310.920585244912,36140.78361438645,32413.4321226796,31378.130322718684,39426.59889258806,40126.561485256214,19737.30917069438,19767.01219657436,19914.618579553084,18978.508421694467,19048.66113274457,37649.12270624798,34780.69000812452,31050.634041260568,35171.23988378077
25,260,38231.32604390939,34095.58825041297,34518.330854520755,33182.038294621634,31507.186223615714,40371.182389962916,35032.434694878764,32084.573986076997,42238.46922927837,42040.79124083977,21134.791226444333,20799.79437274041,21966.574172180768,20030.715863771646,20866.69363927698,39214.61636012049,38872.71961330296,33362.38863734821,36684.88657983768
26,270,41309.52895960022,37070.01680201326,38845.526486009185,38704.63032858332,35568.07936036994,42952.43430125638,37777.62296838906,35159.432006691626,44644.50000614763,45980.82258098259,22404.655690902153,22157.965841278092,21937.925791404665,20971.56472398103,21793.501650498114,39326.39963763339,38536.63048654248,34828.86971967913,37424.02914769227
27,280,47125.47791311344,40643.85602516166,44450.71419336506,43199.9560033881,38893.02940589126,43292.19834322096,39321.81372783634,35908.49368000853,46468.26704551104,49303.46500988763,22422.86099382337,22510.83030448004,23283.840678987384,21955.227899871206,23020.188539299394,39706.72215274477,42317.865009887624,35105.07570171153,37781.71290632776
28,290,46507.152508349514,41900.42225943176,47025.551379673176,45979.10196810385,40558.499309696315,45550.436987366644,40597.84949980027,36184.98581428409,46910.0680927651,51113.23911104186,24186.24401869102,24156.836158033162,24231.239454267445,23865.439826731843,23344.52317550741,42236.45181369533,42863.963926098426,36629.783195739925,39587.55865880283
29,300,50343.09815306198,44349.51649477052,51506.76649477053,49144.876730990996,44357.63384170929,46671.12739702616,40797.742104526624,38354.03922204325,50336.30194709326,52905.954312029404,25749.08792334195,25480.802369209985,25203.290196802125,24047.44831295234,25656.856992508077,42950.91228064751,43568.68568668971,36958.76649477052,40526.07683959811
30,310,54867.54569623123,48625.03129078336,55412.31808810317,52056.3906676849,46214.97652627075,48470.52220308782,41466.048567437145,40382.34081665662,50264.114273769155,56237.302729479314,27278.24302422676,27066.863134286392,27457.256155535193,26275.708573217238,27362.713723571265,43213.12651632445,46236.047875459466,36365.82332401263,40954.819647751036
31,320,57456.64591018946,50875.110701212376,58279.586858130395,55956.26214761057,50549.23764149852,49297.67155121509,43366.209922486945,41435.808375630986,53582.68116525697,59299.34965194533,28700.83594695681,27233.90274426447,28783.144880947297,26975.077478621024,29005.348155312753,45788.84647558151,45283.267279364016,38636.54754382553,40749.1942220926
32,330,59934.15436539948,53067.44265903849,61433.39177946569,59495.78144994438,52041.63934499007,51254.87678452322,46299.627564110415,41115.344361487,55948.74944369926,60281.63528844812,30294.531648214528,28650.05626941165,30556.34783727355,28961.924174882053,29444.26631279507,44170.64403644395,46057.5846752862,38729.038600325766,41935.631431276895
33,340,64535.764664596274,56965.352478216344,64090.63804415613,62959.79692266079,56596.561628543146,51922.107117888554,46965.09670852802,43005.18737819224,55249.75418761805,63624.270606871316,30829.49827140838,30319.027691891555,31963.713750513787,29992.384471298923,30335.089320321607,44841.45696242222,46066.63499705904,38076.23661137674,42944.35426672518
34,350,66232.61889596716,59729.89730823997,68799.20400136228,64165.18453864963,58274.88157420754,54109.294265101635,48285.686283125455,43521.42245471068,56276.321734630474,62941.69539029735,30663.08922045277,30709.270232133123,30317.5190337082,30531.972249067905,31150.144026520575,44448.51919489453,46836.24973241502,39505.51664287976,42844.34390001836
35,360,70274.79404574678,63046.873410826156,70156.08905659277,66166.8671146403,60846.398508221435,53673.00616695891,48396.52350466462,44324.911454653666,57144.84625458213,63285.56186652072,31355.48807559753,29743.742575158543,31340.281130617626,29445.812737335564,31831.79404574678,46198.96385706754,47497.913142256024,38320.497749450486,42748.20625948724
36,370,72207.29645968032,64322.60653719971,73291.39568124982,71408.01901204881,62194.02107551012,59757.01199528938,48498.33753135176,44275.553492013074,59069.10459167442,65204.48772531851,32640.00580459898,31061.068075661246,34225.867406764926,31124.08255195986,32606.788355381526,45833.97437453797,47598.34911145714,37722.42338701656,43651.191267181086
37,380,71152.8598030196,64384.02214068195,75236.42113058093,72694.78800242436,63908.31245764467,55690.87841691677,49647.090322500124,43772.8598030196,56076.175012685555,65829.19368369831,31884.097898257703,30742.2447093287,33919.36105615244,29477.806818445497,33956.831584324726,44176.249025619065,49993.797194482904,37304.157742662246,41456.05868257142
38,390,74516.39998399744,64706.611846035565,78475.69374498873,72450.73159147664,65156.12797051713,57824.335726632584,49366.46286921282,43996.19787813921,57925.711357719294,66303.58793214776,30255.26596673642,31674.884161191585,33777.14452745606,32134.8166408767,35093.52744227043,44910.75147398279,49510.22020871655,36416.53016885995,40812.347183813225
39,400,72305.8314973807,66606.19914443952,80388.69392258112,72797.89864499448,65480.37942766393,56321.89787772211,47940.39301923715,42358.9564973807,57500.844575207106,67501.71357949532,32691.418431269307,31208.644740428364,32742.888306405683,32352.103964700964,33146.193664777995,46257.24552453002,47840.58120164998,36580.81743088454,43052.912602550045
40,410,75591.2668714265,70173.18734659562,83550.43167637581,73628.33137117258,68295.74905590869,58035.298781016005,48996.11535627499,43808.07187801412,56852.249407741176,66593.01881711288,32342.886734983553,31716.60146738611,32827.115356275,31875.167867690525,32888.484834186645,44423.597625778544,48221.64469686785,38916.730919573485,41397.82324791222
41,420,74607.32054498556,72134.71891636282,78802.51239310026,76596.45920044775,68600.13965277307,58181.36708959618,48733.80758670491,44011.76949719614,57567.59333592011,68466.10671135083,32167.67922991031,32520.01320609804,33168.45970754715,31726.768737607497,32160.52867306438,47012.411526974225,47058.41730056392,39315.42428648217,43945.88073479576
42,430,76942.23127868978,69550.34191379408,80845.14679901104,78120.4819384384,73750.50258661149,59883.74379708067,48665.36618374459,43830.94802203217,57754.80153088352,67219.36530191037,32973.03302497229,33132.17142435935,33411.68825673333,32236.26354065793,33598.11834920437,46010.06966698974,48171.95648732071,39596.31603667308,43554.869758459026
43,440,79305.9295750977,73695.40142225486,84498.85107900541,78410.94647879206,70338.46450164006,61031.01545734256,48304.53948480252,44858.65119871709,59311.15666401779,68939.08284804155,34104.090063048745,33350.74170248562,33818.7786152373,32340.00742879662,33833.76596768249,46196.48480080431,48666.66593918096,39279.89206061545,43164.01057400018
44,450,81283.56446847698,74234.38238996606,85287.50773877729,77017.29097823796,72143.7605005979,64192.00381098189,50254.5989512356,44234.64160412518,60055.36071751253,72042.03681607281,36267.05270780103,33892.72234821479,34922.35182479882,33271.389513241025,35945.10529124363,46730.00828738385,47794.75460257659,39627.51849146548,43616.60594177781
45,460,83581.43342017359,75943.04272196106,89760.2724782207,79216.25590624378,75464.85438177857,64868.25574232279,51363.04635153389,44861.5632559695,61708.47206654349,74041.8776048609,37093.61859104534,34954.367776713094,35553.37185773447,35053.852526491006,35947.146118145254,49496.00684276297,49226.3603634816,42222.1723584742,44302.88824625185
46,470,88174.3275808936,78734.84969681327,89102.84012616797,85162.88279991107,75860.97705194764,64160.76227963985,53054.25836099671,46947.33555960935,64031.66162845798,75957.46997088678,39466.41025214175,38131.5713316989,38010.76880694848,37408.54991206162,39474.50454096275,48788.7572291348,50284.773725153005,41989.34219645506,44061.14760197843
47,480,87923.03103550881,83363.86198341996,92894.85432281556,88022.41637908923,79203.60182243088,67771.00484056282,53340.78962081272,47090.97808106944,64579.49326821202,74423.27495759822,38019.54819814725,38025.402628526994,39863.76834649845,38477.064907008,39391.690789360946,50240.32922331773,50281.94289020128,42740.73895231545,44821.38358905084
48,490,95994.60218266121,83548.63656890672,94147.66129799813,92814.40706071,81383.9380053354,68090.45266331585,54477.46549142786,47200.10587627682,67929.82427925304,77192.23983662973,38843.97200593691,38329.59456070999,38541.62213135363,37989.642447755796,38484.25659049056,51504.358280222186,50810.446599424984,44412.741988939655,47002.47252715843
49,500,98488.22334396538,86720.29131553638,96444.08962922494,93548.63112669314,86900.17334915156,68722.81705127258,57493.622726347356,49189.09086376512,67789.59449318146,80121.90355443016,39480.31088353517,43019.015853895406,39251.423599602385,38929.89958336223,39400.000806015785,51107.99826357953,52898.68884151151,44148.65884316658,49160.83212585874
50,510,93379.27960567782,89515.29131373182,98519.10682369374,99514.95569429509,88738.1031350896,71537.92373748786,58550.11856421206,51089.563919403314,70293.36478520418,80165.88091286736,41642.72240611087,39972.63155595257,39556.474175813564,38444.49462522505,40907.54732930632,51732.220782148404,53903.88905601533,43231.4315741095,49157.13316255951
51,520,97928.76102493104,88289.59061462856,102353.90900865284,97966.12906630433,87209.30116551559,71179.8894008097,61627.101261163596,50964.366253114684,69385.37391345533,82620.01715369367,42535.337516128886,40205.46290790601,45067.721179862776,39802.51037580519,40458.118446601,53131.40174076145,53852.0072367081,43763.98795522373,50963.78786465383
