,Open,Trans,Cis,Layered,Time
80,88168.01610516725,69336.07095530992,32804.8509876404,40122.58349366576,810
81,86201.1173884405,69120.8438694356,31796.555215272216,38915.93625630102,820
82,83807.15248134173,67730.6187585308,30971.60706864114,38482.792832658175,830
83,82175.46914602544,66799.1268247161,29601.036150173786,37931.12135120855,840
84,78587.95064278955,66058.22953332747,29050.26774106034,36959.05305571217,850
85,76122.13817079265,64946.15655226831,27803.01221718809,36184.31177734054,860
86,74196.70354245711,63844.46896336635,26920.733506865166,35065.91037789419,870
87,72523.46424283867,62007.894846488416,25982.275669938903,33955.76101859196,880
88,70460.39210829674,60840.34623110448,25460.788513453947,34092.468332771445,890
89,66867.63964420879,59811.25330697999,24183.990184669045,32670.642112920897,900
90,65615.78375115634,58014.80510312137,23492.912778385693,31889.926887915615,910
91,63572.764562164455,56564.78899776745,22767.542126313863,30813.854839886684,920
92,61457.1770795308,55586.838297556176,22175.165394047643,30477.78920038643,930
93,58820.39804115558,53874.58481719489,21599.1524792828,29366.275834557386,940
94,56774.075076642,52228.224468730376,20592.84481150252,28572.33872819502,950
95,55127.227445790966,51046.334008469516,20053.4646462481,27754.566497607284,960
